NUM/NUM325+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
SWW/SWW326+1.p, no scope finishes in time range,3, v3si,114.58, Unsat, v4si,103.8, Unsat,,,
GRP/GRP641+1.p, Unsat,26, v3si,856.93, Unsat, v4si,584.28, Unsat,,,
LAT/LAT339+2.p, no scope finishes in time range,3, v3si,211.34, Unsat, v4si,99.77, Unsat,,,
GEO/GEO658+1.p, no scope finishes in time range,0, v3si,1200, NONZEROCODE, v4si,1200, NONZEROCODE,,,
SYN/SYN986+1.005.p, no scope finishes in time range,9, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
SEU/SEU134+1.p, Unsat,215, v3si,817.54, Unsat, v4si,973.33, Unsat,,,
SEU/SEU136+2.p, Unsat,10, v3si,784.04, Unsat, v4si,379.39, Unsat,,,
SWV/SWV233+1.p, no scope finishes in time range,11, v3si,154.1, Unsat, v4si,101.78, Unsat,,,
GRP/GRP618+3.p, no scope finishes in time range,0, v3si,1200, TIMEOUT, v4si,627.39, Unsat,,,
GEO/GEO591+1.p, no scope finishes in time range,0, v3si,1200, NONZEROCODE, v4si,1200, NONZEROCODE,,,
LAT/LAT339+3.p, no scope finishes in time range,0, v3si,1200, StackOverflowError, v4si,1200, StackOverflowError,,,
CSR/CSR040+1.p, Unsat,45, v3si,208.59, Unsat, v4si,233.67, Unsat,,,
LCL/LCL459+1.p, Unsat,7, v3si,283.21, Unsat, v4si,267.68, Unsat,,,
SWC/SWC121+1.p, Unsat,7, v3si,545.87, Unsat, v4si,544.42, Unsat,,,
CSR/CSR011+1.p, Unsat,12, v3si,1072.28, Unsat, v4si,862.04, Unsat,,,
SET/SET105+1.p, Unsat,10, v3si,231.85, Unsat, v4si,318.12, Unsat,,,
NUN/NUN073+2.p, Unsat,15, v3si,542.19, Unsat, v4si,949.1, Unsat,,,
GEO/GEO623+1.p, no scope finishes in time range,0, v3si,1200, NONZEROCODE, v4si,1200, NONZEROCODE,,,
RNG/RNG126+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
LAT/LAT301+3.p, no scope finishes in time range,0, v3si,1200, StackOverflowError, v4si,638.38, Unsat,,,
NUM/NUM343+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,467.13, Unsat,,,
CSR/CSR030+4.p, no scope finishes in time range,0, v3si,1200, TIMEOUT, v4si,913.91, Unsat,,,
NUN/NUN076+2.p, Unsat,12, v3si,889.28, Unsat, v4si,1160.84, Unsat,,,
ALG/ALG233+1.p, Unsat,4, v3si,313.17, Unsat, v4si,690.74, Unsat,,,
KRS/KRS143+1.p, Unsat,200, v3si,269.22, Unsat, v4si,274.89, Unsat,,,
SWW/SWW472+5.p, no scope finishes in time range,3, v3si,4.31, Unsat, v4si,4.04, Unsat,,,
CSR/CSR059+2.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
SEU/SEU210+2.p, Unsat,9, v3si,336.38, Unsat, v4si,476.55, Unsat,,,
NLP/NLP011+1.p, no scope finishes in time range,5, v3si,144.58, Unsat, v4si,147.36, Unsat,,,
SWW/SWW922+1.p, Unsat,4, v3si,188.41, Unsat, v4si,311.19, Unsat,,,
SEU/SEU410+4.p, no scope finishes in time range,0, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
GRP/GRP624+2.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
CSR/CSR178+1.p, Unsat,3, v3si,385.62, Unsat, v4si,548.17, Unsat,,,
CSR/CSR115+81.p, Unsat,3, v3si,254.57, Unsat, v4si,208.73, Unsat,,,
SWW/SWW884+1.p, no scope finishes in time range,3, v3si,1.64, Unsat, v4si,1.66, Unsat,,,
CSR/CSR115+48.p, Unsat,4, v3si,733.92, Unsat, v4si,717.34, Unsat,,,
SWV/SWV140+1.p, no scope finishes in time range,5, v3si,104.43, Unsat, v4si,125.62, Unsat,,,
LAT/LAT340+3.p, no scope finishes in time range,0, v3si,1200, StackOverflowError, v4si,1200, StackOverflowError,,,
LAT/LAT285+2.p, Unsat,3, v3si,984.47, Unsat, v4si,462.05, Unsat,,,
SYN/SYN377+1.p, no scope finishes in time range,1001, v3si,4.95, Unsat, v4si,5.01, Unsat,,,
LCL/LCL541+1.p, Unsat,7, v3si,209.38, Unsat, v4si,312.75, Unsat,,,
NUM/NUM549+3.p, Unsat,10, v3si,675.18, Unsat, v4si,613.15, Unsat,,,
GRP/GRP623+4.p, no scope finishes in time range,0, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
SET/SET715+4.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
GEO/GEO516+1.p, Unsat,5, v3si,416.43, Unsat, v4si,434.36, Unsat,,,
SWC/SWC193+1.p, Unsat,7, v3si,335.87, Unsat, v4si,328.27, Unsat,,,
CSR/CSR113+16.p, Unsat,3, v3si,327.06, Unsat, v4si,326.42, Unsat,,,
NUM/NUM614+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,147.53, Unsat,,,
LAT/LAT351+2.p, Unsat,1, v3si,930.05, Unsat, v4si,270.84, Unsat,,,
SEU/SEU383+1.p, no scope finishes in time range,13, v3si,109.53, Unsat, v4si,12.3, Unsat,,,
NUM/NUM589+3.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,703.41, Unsat,,,
SEU/SEU434+4.p, no scope finishes in time range,0, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
RNG/RNG066+2.p, no scope finishes in time range,9, v3si,5.13, Unsat, v4si,43.62, Unsat,,,
NUM/NUM510+3.p, no scope finishes in time range,11, v3si,1200, TIMEOUT, v4si,18.75, Unsat,,,
GEO/GEO477+1.p, Unsat,1, v3si,1005.02, Unsat, v4si,199.52, Unsat,,,
CSR/CSR034+2.p, no scope finishes in time range,7, v3si,163.04, Unsat, v4si,233.69, Unsat,,,
ALG/ALG150+1.p, Unsat,261, v3si,213.36, Unsat, v4si,370.8, Unsat,,,
ALG/ALG051+1.p, Unsat,261, v3si,490.53, Unsat, v4si,461.25, Unsat,,,
SEU/SEU245+2.p, Unsat,9, v3si,302.16, Unsat, v4si,1171.22, Unsat,,,
SWB/SWB044+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
NUM/NUM394+1.p, Unsat,73, v3si,901.96, Unsat, v4si,484.62, Unsat,,,
LCL/LCL484+1.p, no scope finishes in time range,7, v3si,131.8, Unsat, v4si,123.11, Unsat,,,
NUM/NUM460+1.p, Unsat,11, v3si,395.14, Unsat, v4si,194.69, Unsat,,,
SWV/SWV191+1.p, no scope finishes in time range,5, v3si,99.85, Unsat, v4si,112.05, Unsat,,,
SCT/SCT165+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,108.92, Unsat,,,
CSR/CSR044+4.p, no scope finishes in time range,0, v3si,1200, TIMEOUT, v4si,917.78, Unsat,,,
SET/SET619+3.p, Unsat,15, v3si,854.7, Unsat, v4si,1066.84, Unsat,,,
SWV/SWV234+1.p, Unsat,9, v3si,1131.72, Unsat, v4si,370.32, Unsat,,,
SEU/SEU436+4.p, no scope finishes in time range,0, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
SEU/SEU124+1.p, Unsat,11, v3si,210.19, Unsat, v4si,181.98, Unsat,,,
NUM/NUM590+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,145.27, Unsat,,,
GEO/GEO491+1.p, Unsat,5, v3si,286.15, Unsat, v4si,293.21, Unsat,,,
CSR/CSR115+6.p, Unsat,3, v3si,217.38, Unsat, v4si,275.74, Unsat,,,
GEO/GEO282+1.p, no scope finishes in time range,3, v3si,105.4, Unsat, v4si,252.99, Unsat,,,
LAT/LAT343+2.p, no scope finishes in time range,3, v3si,217.26, Unsat, v4si,102.74, Unsat,,,
SYN/SYN440+1.p, no scope finishes in time range,1001, v3si,27.8, Unsat, v4si,33.36, Unsat,,,
SWW/SWW222+1.p, Unsat,7, v3si,990.11, Unsat, v4si,1175.03, Unsat,,,
