SWB/SWB031+4.p, Sat,23, v3si,714.58, Sat, v4si,700.35, Sat
COM/COM014+4.p, Sat,11, v3si,901.38, Sat, v4si,797.49, Sat
NLP/NLP036+1.p, Sat,7, v3si,1086.47, Sat, v4si,979.28, Sat
SYN/SYN544+1.p, Sat,138, v3si,361.25, Sat, v4si,319.85, Sat
NLP/NLP221+1.p, Sat,4, v3si,282.52, Sat, v4si,280.66, Sat
NLP/NLP104+1.p, Sat,26, v3si,508.06, Sat, v4si,616.86, Sat
NLP/NLP023+1.p, Sat,15, v3si,337.73, Sat, v4si,338.67, Sat
KRS/KRS176+1.p, Sat,15, v3si,884.83, Sat, v4si,878.02, Sat
SWW/SWW103+1.p, Sat,11, v3si,282.26, Sat, v4si,383.04, Sat
SWW/SWW902+1.p, Sat,4, v3si,736.74, Sat, v4si,242.72, Sat
LCL/LCL677+1.020.p, Sat,11, v3si,828.27, Sat, v4si,840.97, Sat
PRD/PRD003+1.p, Sat,45, v3si,981.54, Sat, v4si,757.83, Sat
NLP/NLP166+1.p, Sat,4, v3si,505.64, Sat, v4si,630.56, Sat
NLP/NLP100+1.p, Sat,11, v3si,437.56, Sat, v4si,408.22, Sat
SYN/SYN534+1.p, Sat,323, v3si,231.38, Sat, v4si,242.53, Sat
SYN/SYN425+1.p, Sat,138, v3si,452.15, Sat, v4si,456.18, Sat
PHI/PHI042+1.p, Sat,76, v3si,741.84, Sat, v4si,738, Sat
NLP/NLP179+1.p, Sat,9, v3si,336.83, Sat, v4si,354.65, Sat
NLP/NLP003+1.p, Sat,34, v3si,765.94, Sat, v4si,826.03, Sat
SWV/SWV012+1.p, Sat,6, v3si,205.58, Sat, v4si,216.48, Sat
LCL/LCL647+1.001.p, Sat,76, v3si,711.07, Sat, v4si,423.13, Sat
SYO/SYO640+1.p, Sat,30, v3si,221.68, Sat, v4si,219.05, Sat
SYN/SYN429+1.p, Sat,76, v3si,270.06, Sat, v4si,457.69, Sat
SYN/SYN524+1.p, Sat,385, v3si,483.02, Sat, v4si,481.49, Sat
LCL/LCL643+1.005.p, Sat,34, v3si,706.26, Sat, v4si,739.75, Sat
LCL/LCL659+1.010.p, Sat,4, v3si,545.53, Sat, v4si,546.38, Sat
SYN/SYN419+1.p, Sat,138, v3si,563.38, Sat, v4si,628.93, Sat
NLP/NLP035+1.p, Sat,6, v3si,399.18, Sat, v4si,341.25, Sat
SYN/SYN344+1.p, Sat,38, v3si,439.9, Sat, v4si,435.68, Sat
NLP/NLP107+1.p, Sat,26, v3si,502.57, Sat, v4si,560.15, Sat
SWW/SWW918+1.p, Sat,4, v3si,268.29, Sat, v4si,671.21, Sat
