CSR/CSR115+48.p, Unsat,4, v3si,733.92, Unsat, v4si,717.34, Unsat
LAT/LAT285+2.p, Unsat,3, v3si,984.47, Unsat, v4si,462.05, Unsat
LCL/LCL541+1.p, Unsat,7, v3si,209.38, Unsat, v4si,312.75, Unsat
NUM/NUM549+3.p, Unsat,10, v3si,675.18, Unsat, v4si,613.15, Unsat
GEO/GEO516+1.p, Unsat,5, v3si,416.43, Unsat, v4si,434.36, Unsat
SWC/SWC193+1.p, Unsat,7, v3si,335.87, Unsat, v4si,328.27, Unsat
CSR/CSR113+16.p, Unsat,3, v3si,327.06, Unsat, v4si,326.42, Unsat
LAT/LAT351+2.p, Unsat,1, v3si,930.05, Unsat, v4si,270.84, Unsat
GEO/GEO477+1.p, Unsat,1, v3si,1005.02, Unsat, v4si,199.52, Unsat
ALG/ALG150+1.p, Unsat,261, v3si,213.36, Unsat, v4si,370.8, Unsat
ALG/ALG051+1.p, Unsat,261, v3si,490.53, Unsat, v4si,461.25, Unsat
SEU/SEU245+2.p, Unsat,9, v3si,302.16, Unsat, v4si,1171.22, Unsat
NUM/NUM394+1.p, Unsat,73, v3si,901.96, Unsat, v4si,484.62, Unsat
NUM/NUM460+1.p, Unsat,11, v3si,395.14, Unsat, v4si,194.69, Unsat
SET/SET619+3.p, Unsat,15, v3si,854.7, Unsat, v4si,1066.84, Unsat
SWV/SWV234+1.p, Unsat,9, v3si,1131.72, Unsat, v4si,370.32, Unsat
SEU/SEU124+1.p, Unsat,11, v3si,210.19, Unsat, v4si,181.98, Unsat
GEO/GEO491+1.p, Unsat,5, v3si,286.15, Unsat, v4si,293.21, Unsat
CSR/CSR115+6.p, Unsat,3, v3si,217.38, Unsat, v4si,275.74, Unsat
SWW/SWW222+1.p, Unsat,7, v3si,990.11, Unsat, v4si,1175.03, Unsat
RNG/RNG089+2.p, Unsat,11, v3si,417.57, Unsat, v4si,461.19, Unsat
CSR/CSR251+1.p, Unsat,3, v3si,341.56, Unsat, v4si,300.73, Unsat
GEO/GEO220+1.p, Unsat,45, v3si,1077.6, Unsat, v4si,893.1, Unsat
RNG/RNG119+4.p, Unsat,7, v3si,384.26, Unsat, v4si,214.79, Unsat
SWB/SWB009+2.p, Unsat,11, v3si,196.18, Unsat, v4si,247.86, Unsat
KRS/KRS147+1.p, Unsat,261, v3si,426.4, Unsat, v4si,326.82, Unsat
