SYN/SYN540+1.p, Sat,200, v3si,1014.74, Sat, v4si,767.08, Sat
SYN/SYN529+1.p, Sat,385, v3si,818.13, Sat, v4si,830.83, Sat
SWV/SWV016+1.p, no scope finishes in time range,5, v3si,133.3, Sat, v4si,94.85, Sat
LCL/LCL677+1.005.p, Sat,38, v3si,722.32, Sat, v4si,755.3, Sat
MSC/MSC014+1.p, not goal,3, v3si,2.35, Unsat, v4si,2.08, Unsat
NLP/NLP032+1.p, Sat,7, v3si,1100.33, Sat, v4si,757.51, Sat
SYN/SYN497+1.p, no scope finishes in time range,1001, v3si,2.08, Sat, v4si,2.02, Sat
LCL/LCL657+1.015.p, not goal,1, v3si,1.12, Unsat, v4si,1.12, Unsat
LCL/LCL681+1.001.p, no scope finishes in time range,1001, v3si,1.25, Sat, v4si,1.19, Sat
SYN/SYN514+1.p, Sat,107, v3si,675.24, Sat, v4si,406.4, Sat
SYO/SYO767+1.p, not goal,15, v3si,4.01, Unsat, v4si,3.36, Unsat
SYO/SYO593+1.p, not goal,1, v3si,41.74, Unsat, v4si,17.09, Unsat
NUM/NUM354+1.p, not goal,3, v3si,75.61, Unsat, v4si,59.95, Unsat
SYO/SYO722+1.p, not goal,15, v3si,211.03, Unsat, v4si,54.95, Unsat
LCL/LCL655+1.015.p, not goal,1, v3si,2.1, Unsat, v4si,2.02, Unsat
SYN/SYN518+1.p, Sat,107, v3si,559.47, Sat, v4si,439.92, Sat
LCL/LCL673+1.001.p, Sat,61, v3si,743.29, Sat, v4si,771.72, Sat
NLP/NLP059+1.p, no scope finishes in time range,9, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT
NLP/NLP027+1.p, no scope finishes in time range,7, v3si,37.09, Sat, v4si,44.58, Sat
SWW/SWW897+1.p, not goal,1, v3si,1.19, Unsat, v4si,1.22, Unsat
SWW/SWW876+1.p, no scope finishes in time range,5, v3si,127.57, Sat, v4si,220.78, Sat
NLP/NLP120+1.p, Sat,9, v3si,294.58, Sat, v4si,291.5, Sat
GEO/GEO254+3.p, Sat,15, v3si,219.6, Sat, v4si,248.28, Sat
